SPECID,COMMENT_FLAG,COMMENT
G15_Y5_009_349,512,"BAD ALIGN"                           
G15_Y5_009_353,512,"BAD ALIGN"                           
G15_Y5_009_356,512,"BAD ALIGN"                           
G15_Y5_009_357,512,"BAD ALIGN"                           
G15_Y5_009_359,512,"BAD ALIGN"                           
G15_Y5_009_360,512,"BAD ALIGN"                           
G15_Y5_009_363,512,"BAD ALIGN"                           
G15_Y5_009_368,512,"BAD ALIGN"                           
G15_Y5_009_374,512,"BAD ALIGN"                           
G15_Y5_009_380,512,"BAD ALIGN"                           
G15_Y5_009_396,512,"BAD ALIGN"                           
G15_Y3_022_357,528,"Aa      bad splice"                  
G15_Y3_049_166,528,"Aa      bad splice"                  
G15_Y3_009_021,576,"very bad splice; fringing"           
G15_Y3_009_047,576,"bad splice and fringing"             
G12_Y5_010_242,768,"bad splicing and sky sub."           
G12_Y5_015_326,768,"bad splicing and sky sub."           
G15_Y3_043_313,768,"bad splice and skysub"               
G15_Y3_049_313,768,"bad splice and skysub"               
G02_Y3_001_174,1024,"blue arm very noisy"                 
G02_Y3_006_259,1024,"poor reduction of blue arm"          
G02_Y3_009_111,1024,"blue over-sky subtract"              
G02_Y3_012_029,1024,"no blue data"                        
G02_Y4_043_260,1024,"blue data looks odd"                 
G09_Y1_AN1_385,1024,"blue data screwed"                   
G09_Y1_AX1_249,1024,"bad blue"                            
G09_Y1_AX2_062,1024,"no blue"                             
G09_Y1_CN2_259,1024,"crappy blue"                         
G09_Y1_FN2_385,1024,"blue arm missing"                    
G09_Y1_FX1_363,1024,"no blue"                             
G09_Y1_HN2_259,1024,"damaged blue data"                   
G09_Y1_IS1_385,1024,"damaged blue data"                   
G09_Y2_009_051,1024,"blue problem"                        
G09_Y4_202_390,1024,"very noisy blue arm"                 
G09_Y4_223_108,1024,"bad blue"                            
G09_Y4_226_295,1024,"noisy blue"                          
G09_Y4_227_051,1024,"no blue data"                        
G09_Y4_227_051,1024,"bad blue"                            
G09_Y4_227_382,1024,"no blue data"                        
G09_Y4_227_382,1024,"missing blue sectiom"                
G09_Y4_228_199,1024,"blue data missing"                   
G09_Y4_231_357,1024,"blue data screwed"                   
G09_Y5_032_120,1024,"noisy blue arm"                      
G09_Y6_100_005,1024,"strange feature near 5600 A"         
G09_Y6_100_006,1024,"strange feature near 5600 A"         
G09_Y6_100_018,1024,"strange feature near 5600 A"         
G12_Y1_BS2_385,1024,"no blue"                             
G12_Y1_BX1_261,1024,"problem with blue arm"               
G12_Y1_CS2_385,1024,"blue arm missing"                    
G12_Y1_CS2_385,1024,"bad blue"                            
G12_Y1_FS1_016,1024,"bad blue"                            
G12_Y1_FS1_385,1024,"no blue"                             
G12_Y1_HN1_385,1024,"bad blue"                            
G12_Y1_HN1_385,1024,"bad blue"                            
G12_Y1_IS2_385,1024,"no blue"                             
G12_Y2_001_041,1024,"damaged blue data"                   
G12_Y2_005_259,1024,"noisy blue"                          
G12_Y2_025_259,1024,"v noisy blue"                        
G12_Y2_025_337,1024,"noisy blue"                          
G12_Y2_037_505,1024,"blue data screwed"                   
G12_Y5_009_269,1024,"no blue data"                        
G15_Y1_AS2_261,1024,"screwy blue"                         
G15_Y1_AX1_168,1024,"noisey blue data"                    
G15_Y1_AX2_259,1024,"v noisy blue"                        
G15_Y1_CN2_261,1024,"bad blue"                            
G15_Y1_DN1_267,1024,"Blue arm missing"                    
G15_Y1_DN1_267,1024,"blue data screwed"                   
G15_Y1_DS2_199,1024,"no blue"                             
G15_Y1_FN1_385,1024,"blue data screwed"                   
G15_Y1_FS1_261,1024,"blue datat damaged"                  
G15_Y1_GS1_385,1024,"no blue"                             
G15_Y1_GS1_385,1024,"missing blue data"                   
G15_Y1_HN1_261,1024,"screwy blue"                         
G15_Y1_HS1_385,1024,"blue data missing"                   
G15_Y1_HS2_261,1024,"v noisy blue"                        
G15_Y1_IN1_259,1024,"v noisy blue"                        
G15_Y2_005_166,1024,"star?  blue end funny?"              
G15_Y2_005_389,1024,"star?  bad blue subtraction?"        
G15_Y2_008_044,1024,"noisy blue 4700 & 5300"              
G15_Y2_008_261,1024,"very noisy blue"                     
G15_Y2_016_131,1024,"blue filter screwed"                 
G15_Y2_019_010,1024,"Blue negative constant level"        
G15_Y2_019_248,1024,"blue negative constant"              
G15_Y2_019_248,1024,"no blue"                             
G15_Y2_021_092,1024,"blue very noisy"                     
G15_Y2_023_319,1024,"blue data screwed"                   
G15_Y3_016_313,1024,"no blue spec"                        
G15_Y3_016_315,1024,"no blue spec"                        
G15_Y3_016_315,1024,"bad blue"                            
G15_Y3_020_122,1024,"blue data screwed"                   
G15_Y3_020_154,1024,"blue data screwed"                   
G15_Y3_020_256,1024,"blue data screwed"                   
G15_Y3_020_311,1024,"blue data screwed"                   
G15_Y3_031_314,1024,"bad blue"                            
G15_Y3_035_315,1024,"blue data damaged"                   
G15_Y3_045_314,1024,"bad blue data"                       
G15_Y3_045_314,1024,"bad blue"                            
G15_Y3_046_315,1024,"blue side only bad sky sub"          
G15_Y3_046_315,1024,"blue data bad"                       
G15_Y3_051_314,1024,"blue data missing"                   
G15_Y4_214_384,1024,"noisy blue"                          
G15_Y4_215_022,1024,"bad blue"                            
G15_Y4_217_284,1024,"blue data screwed"                   
G15_Y4_217_333,1024,"blue data screwed"                   
G15_Y4_218_390,1024,"very noisy blue arm"                 
G15_Y4_225_245,1024,"blue noisyr"                         
G15_Y4_225_296,1024,"blue noisy"                          
G15_Y4_231_387,1024,"blue data screwed"                   
G15_Y4_235_231,1024,"noisy blue side"                     
G15_Y4_236_169,1024,"noisy blue side"                     
G15_Y5_003_382,1024,"blue data screwed"                   
G15_Y5_003_383,1024,"blue data screwed"                   
G15_Y1_BX2_277,1025,"SF      SF? missing blue"            
G15_Y1_AX1_123,1040,"Aae     spectra missing in blue"     
G09_Y4_228_198,1088,"blue fringed"                        
G15_Y2_014_067,1280,"poor blue sky sub?"                  
G02_Y4_021_078,2048,"poor red"                            
G09_Y1_BS2_269,2048,"no red"                              
G09_Y1_BS2_274,2048,"crappy red"                          
G09_Y1_BS2_303,2048,"crappy red"                          
G09_Y1_BS2_307,2048,"no red"                              
G09_Y1_BS2_316,2048,"no red arm data"                     
G09_Y4_227_061,2048,"bad red"                             
G09_Y5_011_081,2048,"red v faint"                         
G12_Y3_026_052,2048,"very little red data"                
G15_Y4_213_154,2048,"low signal on red side"              
G15_Y4_225_068,2048,"red data screwed"                    
G15_Y4_231_294,2048,"dent around 5900Angstrom"            
G15_Y5_006_213,2048,"No red flux at all!!!"               
